0 954
1 405 12635
1 246 51109
1 881 17544
1 474 1944
1 752 45416
1 281 8580
2 570 23588
2 788 45332
2 606 38664
2 708 45815
2 66 22825
2 275 14211
2 358 79552
2 361 26675
2 719 70311
2 239 44844
2 60 78730
2 758 13451
2 901 44498
2 242 76042
2 846 66084
2 899 64443
2 207 54945
2 486 80501
2 1 18644
2 301 93527
2 517 77488
2 928 45925
2 149 16573
2 542 9111
2 420 76645
2 533 42280
2 911 96416
2 782 56570
2 580 10265
2 73 84874
2 389 47138
2 527 91520
2 442 24392
2 336 23600
2 448 25488
2 759 91621
2 406 58475
2 941 65233
2 267 14958
2 525 86700
2 756 29607
2 814 61800
2 325 21225
2 179 55733
2 933 71828
2 717 4175
2 836 1354
2 260 81097
2 90 63148
2 289 10829
2 863 74965
3 850 56549
3 199 66944
3 463 80105
3 108 76849
3 507 53050
3 132 89087
3 788 40446
3 136 43503
3 376 67533
3 710 83421
3 465 64078
3 68 44680
3 766 91485
3 852 32563
3 564 58931
3 473 81886
3 531 11622
3 647 79073
3 245 40079
3 367 17162
3 264 75143
3 589 97250
3 776 85601
3 210 94835
3 234 19829
3 841 16715
3 522 22945
3 189 5640
3 610 61713
3 756 77033
3 323 72771
3 561 52474
3 708 24099
3 774 76118
3 889 3819
3 630 90009
3 448 15878
3 178 27252
3 869 60715
3 349 87314
3 114 33045
3 609 80800
3 192 98126
3 646 40993
3 783 13185
3 689 39071
3 750 14507
3 406 29907
3 519 255
3 302 29037
3 145 86373
3 164 33962
3 746 27430
3 805 43981
3 629 58007
3 421 32814
3 185 27571
3 311 48674
3 726 31382
3 292 60219
3 909 34678
3 20 69216
3 800 40202
3 159 10193
3 313 1953
3 6 60003
3 868 89893
3 919 62486
3 198 45115
3 172 36735
3 584 31233
3 140 90304
3 503 79970
3 827 2476
3 434 83925
3 419 46666
3 822 80936
3 752 38961
3 294 72457
3 926 20397
3 467 25883
3 27 49051
3 550 17086
3 687 96378
3 260 23186
3 176 67588
3 149 34872
3 227 12281
3 372 71382
3 548 6774
3 874 65697
3 818 21265
3 86 11540
3 545 78274
3 5 73464
3 870 45039
3 201 36283
3 858 50401
3 141 40675
3 435 82124
3 887 60709
3 512 98857
3 161 64540
3 903 48418
3 206 23694
3 131 70319
3 557 59251
3 441 26750
3 34 18009
3 700 35430
3 804 25532
3 784 46690
3 843 42591
3 732 3380
3 347 24231
3 644 58999
3 611 75589
3 405 66928
3 701 95549
3 498 12714
3 32 54065
3 945 58294
3 936 12600
3 115 90543
3 513 64535
3 263 72731
3 35 49102
3 202 17364
3 707 40198
3 47 29122
3 458 16252
3 686 56144
3 823 3021
3 639 38192
3 617 39196
3 232 71549
3 734 13384
3 291 85272
3 170 7704
3 476 50463
3 403 2726
3 144 17780
3 354 39150
3 662 44248
3 281 79689
3 659 95706
3 485 5596
3 779 32343
3 624 77665
3 882 71095
3 443 67089
3 276 53641
3 177 48078
3 864 16210
3 860 11115
4 142 50264
4 260 43249
4 667 43170
4 270 57949
4 376 35277
4 848 62105
4 528 25908
4 18 51225
4 663 75099
4 878 69993
4 636 2114
4 661 8027
4 85 9467
4 246 39597
4 76 19261
4 555 60532
4 52 18433
4 750 60210
4 621 35605
4 500 88943
4 564 19748
4 73 76762
4 828 75191
4 540 65584
4 672 51781
4 566 86913
4 586 2092
4 929 41498
4 550 56186
4 146 47900
4 266 55971
4 419 53121
4 95 91143
4 505 44463
4 739 35643
4 567 89923
4 385 66587
4 622 44477
4 713 75121
4 98 22133
4 910 33847
4 736 74763
4 562 65912
4 697 52453
4 365 80368
4 156 62533
4 206 15529
4 760 63169
4 727 96774
4 641 9748
4 775 54200
4 951 31811
4 457 97488
4 891 69309
4 839 5248
4 421 67345
4 719 32016
4 489 30789
4 416 5759
4 795 44441
4 122 40720
4 372 35966
4 9 93353
4 799 32591
4 603 97945
4 823 40566
4 392 21986
4 366 65015
4 220 77511
4 808 42059
4 486 19666
4 99 61732
4 338 88791
4 490 11549
4 652 29498
4 548 2110
4 919 63000
4 761 9742
4 873 62143
4 773 58620
4 314 73005
4 522 91774
4 317 26599
4 935 28074
4 658 38313
4 276 57855
4 295 89514
4 953 92507
4 572 81280
4 459 91266
4 821 62019
4 33 37926
5 905 69
5 316 14511
5 178 45571
5 546 92322
5 698 97446
5 572 56863
5 897 37845
5 72 56660
5 142 10467
5 918 93160
5 564 12163
6 158 23130
6 723 2495
6 882 6138
6 415 56908
6 588 73193
6 622 76540
6 456 75044
6 205 66062
6 747 61185
6 546 60695
6 388 19791
6 494 16650
6 533 8467
6 693 67191
6 669 48468
6 453 94563
6 794 97960
6 613 89449
6 739 53830
6 909 82479
6 352 92181
6 31 762
6 507 39109
6 899 87408
6 679 48769
6 604 92988
6 764 29750
6 841 42590
6 130 45943
6 490 7267
6 82 71250
6 552 15063
6 926 15238
6 407 6011
6 165 83570
6 845 12440
6 820 96562
6 131 75678
6 38 12728
6 435 68668
6 329 11188
6 590 30055
6 109 87643
6 363 11857
6 819 15128
6 84 77051
6 603 37303
6 585 88291
6 608 12975
6 94 37959
6 161 99141
6 931 88646
6 740 96303
6 162 47724
6 65 27409
6 182 70526
6 680 10749
6 413 95884
6 57 5928
6 907 48328
6 555 43214
6 703 40137
6 434 33842
6 659 49409
6 133 22727
6 621 59712
6 617 70469
6 916 50272
6 587 29032
6 942 8505
6 600 47090
6 925 27739
6 876 72582
6 87 64066
6 442 55648
6 866 78991
6 844 20500
6 287 24210
6 314 76000
6 228 89978
6 356 17858
6 341 16771
6 56 59922
6 323 82477
